filename;version_type;version;work_name_semantic;structure;instrumentation;lyrics_original;voice;tuning_A4;global_key;transposition;vocal_shift;noise_level;length;license
Bach_BWV1007-01_OV-Clement1958;OV;Clement1958;Prelude_Vlc;A;Cello;;;438.2245141184891;G:maj;0;0;2;156.05333333333334;CC0
Bach_BWV1007-01_OV-Fontana2011;OV;Fontana2011;Prelude_Vlc;A;Cello;;;438.73106346721926;F#:maj;-1;0;1;180.13333333333333;CC-BY-NC-ND-3.0
Bach_BWV1007-01_OV-Janigro1948;OV;Janigro1948;Prelude_Vlc;A;Cello;;;445.3697350956286;G:maj;0;0;2;161.26666666666668;CC0
Bach_BWV1007-01_OV-Levy1962;OV;Levy1962;Prelude_Vlc;A;Cello;;;442.2933416182494;G:maj;0;0;2;161.3356462585034;CC0
Bach_BWV1007-01_OV-Mainardi1957;OV;Mainardi1957;Prelude_Vlc;A;Cello;;;445.1125537328459;G:maj;0;0;1;195.26666666666668;CC0
Bach_BWV1007-01_OV-Michel2007;OV;Michel2007;Prelude_Vlc;A;Cello;;;442.2933416182494;G:maj;0;0;1;130.2726530612245;CC-BY-SA-3.0
Bach_BWV1007-01_OV-Milman2022;OV;Milman2022;Prelude_Vlc;A;Cello;;;441.5275693441813;G:maj;0;0;1;138.9736961451247;CC-BY-3.0
Bach_BWV1007-01_OV-R-Fournier1961;OV-R;Fournier1961;Prelude_Vlc;A;Cello;;;440.0;G:maj;0;0;1;167.56680272108844;CC0
Bach_BWV1007-01_OV-Rostropovich1955;OV;Rostropovich1955;Prelude_Vlc;A;Cello;;;445.3697350956286;G:maj;0;0;2;145.05360544217686;CC0
Bach_BWV1007-01_OV-Schmidt1958;OV;Schmidt1958;Prelude_Vlc;A;Cello;;;450.5446821448552;G:maj;0;0;2;86.89106575963719;CC0
Bach_BWV1007-01_OV-Starker1959;OV;Starker1959;Prelude_Vlc;A;Cello;;;443.57258128491367;G:maj;0;0;2;136.46666666666667;CC0
Bach_BWV1007-01_OV-Tortelier1953;OV;Tortelier1953;Prelude_Vlc;A;Cello;;;444.5986364541761;G:maj;0;0;1;149.90503401360544;CC0
Bach_BWV1007-01_SR-R-ReproPno-CloseRev;SR-R;ReproPno-CloseRev;Prelude_Vlc;A;Piano;;;441.2726066625215;G:maj;0;0;1;123.0;CC-BY-3.0
Bach_BWV1007-01_SR-ReproPno-CloseDry;SR;ReproPno-CloseDry;Prelude_Vlc;A;Piano;;;441.2726066625215;G:maj;0;0;1;123.0;CC-BY-3.0
Bach_BWV1007-01_SR-ReproPno-HandRecDry;SR;ReproPno-HandRecDry;Prelude_Vlc;A;Piano;;;441.2726066625215;G:maj;0;0;1;123.0;CC-BY-3.0
Bach_BWV1007-01_SR-ReproPno-RoomRev;SR;ReproPno-RoomRev;Prelude_Vlc;A;Piano;;;440.7631229032662;G:maj;0;0;1;123.0;CC-BY-3.0
Bach_BWV1007-01_SY-EWSO;SY;EWSO;Prelude_Vlc;A;Synthetic;;;441.782679340603;G:maj;0;0;1;120.07845804988662;CC-BY-3.0
Bach_BWV1007-01_SY-HSO;SY;HSO;Prelude_Vlc;A;Synthetic;;;442.2933416182494;G:maj;0;0;1;130.47378684807256;CC-BY-3.0
Beethoven_Op047-01_AD-S-Makanowitzky1955;AD-S;Makanowitzky1955;KreutzerSon_VlPno;A'BCDE;"Violin; Piano";;;441.2726066625215;A:min;0;0;2;668.6418140589569;CC0
Beethoven_Op047-01_AD-S-Oikstrah1962;AD-S;Oikstrah1962;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;428.4628707780672;Bb:min;1;0;3;654.0;CC0
Beethoven_Op047-01_OV-Anghelescu2010;OV;Anghelescu2010;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;442.5488940698555;A:min;0;0;1;658.1289795918367;CC-BY-SA-4.0
Beethoven_Op047-01_OV-Auer;OV;Auer;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;442.2933416182494;A:min;0;0;2;622.9857142857143;CC-BY-SA-3.0
Beethoven_Op047-01_OV-Borovas;OV;Borovas;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;441.782679340603;A:min;0;0;3;754.4946938775511;CC0
Beethoven_Op047-01_OV-Cerovsek2010;OV;Cerovsek2010;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;440.25422738288415;A:min;0;0;1;653.4042176870748;CC-BY-NC-ND-3.0
Beethoven_Op047-01_OV-Ciccolini1961;OV;Ciccolini1961;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;446.9159468096244;A:min;0;0;2;675.8762358276643;CC0
Beethoven_Op047-01_OV-Cortot1929;OV;Cortot1929;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;431.4430657232095;Ab:min;1;0;3;643.6571428571428;CC0
Beethoven_Op047-01_OV-Croitoru2010;OV;Croitoru2010;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;442.5488940698555;A:min;0;0;2;747.9466666666667;CC-BY-SA-4.0
Beethoven_Op047-01_OV-Enescu1957;OV;Enescu1957;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;436.45619266905874;A:min;0;0;2;647.2890702947846;CC0
Beethoven_Op047-01_OV-Grumiaux1956;OV;Grumiaux1956;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;444.5986364541761;A:min;0;0;1;657.4497959183674;CC0
Beethoven_Op047-01_OV-Gulli1955;OV;Gulli1955;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;427.4740541075866;Bb:min;1;0;2;692.7131065759637;CC0
Beethoven_Op047-01_OV-Heifetz1961;OV;Heifetz1961;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;441.782679340603;A:min;0;0;2;607.2424489795918;CC0
Beethoven_Op047-01_OV-Huberman1930;OV;Huberman1930;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;443.06044202495633;A:min;0;0;3;647.6933333333334;CC0
Beethoven_Op047-01_OV-Kulenkampff1949;OV;Kulenkampff1949;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;444.0853125332247;A:min;0;0;2;640.6138775510204;CC0
Beethoven_Op047-01_OV-Lautenbacher1959;OV;Lautenbacher1959;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;442.0379367369037;A:min;0;0;3;677.9009070294785;CC0
Beethoven_Op047-01_OV-Menuhin1956;OV;Menuhin1956;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;437.4657864797208;A:min;0;0;1;713.6914285714286;CC0
Beethoven_Op047-01_OV-Menuhin1959;OV;Menuhin1959;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;443.57258128491367;A:min;0;0;2;741.0;CC0
Beethoven_Op047-01_OV-Milstein1957;OV;Milstein1957;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;439.7459194222075;A:min;0;0;2;635.6737414965986;CC0
Beethoven_Op047-01_OV-Parikian1959;OV;Parikian1959;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;444.855520880948;A:min;0;0;2;657.5891156462585;CC0
Beethoven_Op047-01_OV-Plocez1953;OV;Plocez1953;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;436.9606979922958;A:min;0;0;1;691.535918367347;CC0
Beethoven_Op047-01_OV-Poochikian2024;OV;Poochikian2024;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;439.7459194222075;A:min;0;0;2;756.4480725623582;CC-BY-SA-4.0
Beethoven_Op047-01_OV-R-Szeryng1960;OV-R;Szeryng1960;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;440.5086016556824;A:min;0;0;1;643.6048979591836;CC0
Beethoven_Op047-01_OV-Rosand1961;OV;Rosand1961;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;442.0379367369037;A:min;0;0;1;828.8360090702948;CC0
Beethoven_Op047-01_OV-Rosenthal1982;OV;Rosenthal1982;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;442.2933416182494;A:min;0;0;1;622.9857142857143;EEF
Beethoven_Op047-01_OV-Rostal1953;OV;Rostal1953;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;440.25422738288415;A:min;0;0;2;700.5277097505669;CC0
Beethoven_Op047-01_OV-Schneiderhan1953;OV;Schneiderhan1953;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;444.5986364541761;A:min;0;0;2;697.4604081632654;CC0
Beethoven_Op047-01_OV-Szigeti1940;OV;Szigeti1940;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;440.0;A:min;0;0;3;670.2912471655329;CC0
Beethoven_Op047-01_OV-Taschner1951;OV;Taschner1951;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;435.4489288226911;A:min;0;0;3;663.5002267573697;CC0
Beethoven_Op047-01_OV-Temianka1946;OV;Temianka1946;KreutzerSon_VlPno;ABCDE;"Violin; Piano";;;440.5086016556824;A:min;0;0;2;639.9825850340136;CC0
Beethoven_Op047-01_SR-R-ReproPno-CloseRev;SR-R;ReproPno-CloseRev;KreutzerSon_VlPno;ABCDE;Piano;;;441.5275693441813;A:min;0;0;1;647.7360090702948;CC-BY-3.0
Beethoven_Op047-01_SR-ReproPno-CloseDry;SR;ReproPno-CloseDry;KreutzerSon_VlPno;ABCDE;Piano;;;441.5275693441813;A:min;0;0;1;647.7360090702948;CC-BY-3.0
Beethoven_Op047-01_SR-ReproPno-HandRecDry;SR;ReproPno-HandRecDry;KreutzerSon_VlPno;ABCDE;Piano;;;441.5275693441813;A:min;0;0;1;647.7360090702948;CC-BY-3.0
Beethoven_Op047-01_SR-ReproPno-RoomRev;SR;ReproPno-RoomRev;KreutzerSon_VlPno;ABCDE;Piano;;;441.5275693441813;A:min;0;0;1;647.7360090702948;CC-BY-3.0
Beethoven_Op047-01_SY-EWSO;SY;EWSO;KreutzerSon_VlPno;ABCDE;Synthetic;;;440.5086016556824;A:min;0;0;1;644.9767346938776;CC-BY-3.0
Beethoven_Op047-01_SY-HSO;SY;HSO;KreutzerSon_VlPno;ABCDE;Synthetic;;;441.2726066625215;A:min;0;0;1;655.1017233560091;CC-BY-3.0
Beethoven_Op072-0_OV-Ansermet1960;OV;Ansermet1960;FidelioOv_Orch;A;Orchestra;;;444.3419003668215;E:maj;0;0;3;358.3485260770975;CC0
Beethoven_Op072-0_OV-Bamberger1961;OV;Bamberger1961;FidelioOv_Orch;A;Orchestra;;;449.7646237687715;E:maj;0;0;2;377.2293424036281;CC0
Beethoven_Op072-0_OV-Bohm1944;OV;Bohm1944;FidelioOv_Orch;A;Orchestra;;;441.2726066625215;E:maj;0;0;2;405.6933333333333;CC0
Beethoven_Op072-0_OV-Boult1958;OV;Boult1958;FidelioOv_Orch;A;Orchestra;;;440.5086016556824;E:maj;0;0;2;371.26403628117913;CC0
Beethoven_Op072-0_OV-Cluytens1960;OV;Cluytens1960;FidelioOv_Orch;A;Orchestra;;;428.2154523831355;F:maj;1;0;1;420.3750113378685;CC0
Beethoven_Op072-0_OV-Fricsay1957;OV;Fricsay1957;FidelioOv_Orch;A;Orchestra;;;443.57258128491367;E:maj;0;0;2;375.9738321995465;CC0
Beethoven_Op072-0_OV-Furtwangler1950;OV;Furtwangler1950;FidelioOv_Orch;A;Orchestra;;;438.73106346721926;E:maj;0;0;3;406.4106575963719;CC0
Beethoven_Op072-0_OV-Furtwangler1953;OV;Furtwangler1953;FidelioOv_Orch;A;Orchestra;;;441.2726066625215;E:maj;0;0;3;396.3;CC0
Beethoven_Op072-0_OV-Henning2017;OV;Henning2017;FidelioOv_Orch;A;Orchestra;;;442.80459417698654;E:maj;0;0;2;403.49319727891157;CC-BY-3.0
Beethoven_Op072-0_OV-Horenstein1957;OV;Horenstein1957;FidelioOv_Orch;A;Orchestra;;;441.2726066625215;E:maj;0;0;3;364.4139682539683;CC0
Beethoven_Op072-0_OV-Karajan1960;OV;Karajan1960;FidelioOv_Orch;A;Orchestra;;;433.9423899770781;E:maj;0;0;3;405.9906575963719;CC0
Beethoven_Op072-0_OV-Keilberth1961;OV;Keilberth1961;FidelioOv_Orch;A;Orchestra;;;443.57258128491367;E:maj;0;0;1;373.82666666666665;CC0
Beethoven_Op072-0_OV-Kempen1957;OV;Kempen1957;FidelioOv_Orch;A;Orchestra;;;443.82887286777554;E:maj;0;0;1;374.82875283446714;CC0
Beethoven_Op072-0_OV-Kleiber1956;OV;Kleiber1956;FidelioOv_Orch;A;Orchestra;;;447.1741701540032;E:maj;0;0;1;396.1092063492064;CC0
Beethoven_Op072-0_OV-Klemperer1962;OV;Klemperer1962;FidelioOv_Orch;A;Orchestra;;;441.5275693441813;E:maj;0;0;1;415.6160090702948;CC0
Beethoven_Op072-0_OV-Knappertsbusch1961;OV;Knappertsbusch1961;FidelioOv_Orch;A;Orchestra;;;452.63145841612703;E:maj;0;0;2;426.9261678004535;CC0
Beethoven_Op072-0_OV-Konwitschny1959;OV;Konwitschny1959;FidelioOv_Orch;A;Orchestra;;;442.2933416182494;E:maj;0;0;1;389.13519274376415;CC0
Beethoven_Op072-0_OV-Krauss1954;OV;Krauss1954;FidelioOv_Orch;A;Orchestra;;;442.0379367369037;E:maj;0;0;3;422.1;CC0
Beethoven_Op072-0_OV-Leitner1957;OV;Leitner1957;FidelioOv_Orch;A;Orchestra;;;445.627065055104;E:maj;0;0;2;366.29795918367347;CC0
Beethoven_Op072-0_OV-Lindenberg1958;OV;Lindenberg1958;FidelioOv_Orch;A;Orchestra;;;444.0853125332247;E:maj;0;0;2;404.54680272108845;CC0
Beethoven_Op072-0_OV-Maazel1962;OV;Maazel1962;FidelioOv_Orch;A;Orchestra;;;446.6578725778289;E:maj;0;0;2;380.1;CC0
Beethoven_Op072-0_OV-Markevitch1958;OV;Markevitch1958;FidelioOv_Orch;A;Orchestra;;;445.8845436971296;E:maj;0;0;1;402.3066666666667;CC0
Beethoven_Op072-0_OV-Melik1960;OV;Melik1960;FidelioOv_Orch;A;Orchestra;;;445.627065055104;E:maj;0;0;1;380.5466666666667;CC0
Beethoven_Op072-0_OV-Mengelberg1960;OV;Mengelberg1960;FidelioOv_Orch;A;Orchestra;;;445.1125537328459;E:maj;0;0;2;347.9481179138322;CC0
Beethoven_Op072-0_OV-Munch1956;OV;Munch1956;FidelioOv_Orch;A;Orchestra;;;441.5275693441813;E:maj;0;0;3;393.5637641723356;CC0
Beethoven_Op072-0_OV-Otterloo1957;OV;Otterloo1957;FidelioOv_Orch;A;Orchestra;;;445.1125537328459;E:maj;0;0;1;380.8666666666667;CC0
Beethoven_Op072-0_OV-Pfluger1950;OV;Pfluger1950;FidelioOv_Orch;A;Orchestra;;;433.6918074016825;E:maj;0;0;3;383.0933333333333;CC0
Beethoven_Op072-0_OV-R-Jochum1960;OV-R;Jochum1960;FidelioOv_Orch;A;Orchestra;;;444.5986364541761;E:maj;0;0;1;397.89714285714285;CC0
Beethoven_Op072-0_OV-Raybould1932;OV;Raybould1932;FidelioOv_Orch;A;Orchestra;;;441.2726066625215;E:maj;0;0;3;377.99374149659866;CC0
Beethoven_Op072-0_OV-Reiner1955;OV;Reiner1955;FidelioOv_Orch;A;Orchestra;;;441.2726066625215;E:maj;0;0;2;400.16;CC0
Beethoven_Op072-0_OV-Rosbaud1957;OV;Rosbaud1957;FidelioOv_Orch;A;Orchestra;;;437.21316929837263;E:maj;0;0;1;401.49333333333334;CC0
Beethoven_Op072-0_OV-Scherchen1955;OV;Scherchen1955;FidelioOv_Orch;A;Orchestra;;;441.782679340603;E:maj;0;0;2;375.07873015873014;CC0
Beethoven_Op072-0_OV-Toscanini1954;OV;Toscanini1954;FidelioOv_Orch;A;Orchestra;;;439.7459194222075;E:maj;0;0;3;391.0;CC0
Beethoven_Op072-0_OV-Vandernoot1960;OV;Vandernoot1960;FidelioOv_Orch;A;Orchestra;;;451.32609343096783;E:maj;0;0;2;427.32984126984127;CC0
Beethoven_Op072-0_OV-WalterB1941;OV;WalterB1941;FidelioOv_Orch;A;Orchestra;;;432.19134773436576;E:maj;0;0;3;379.18403628117915;CC0
Beethoven_Op072-0_OV-Weingartner1938;OV;Weingartner1938;FidelioOv_Orch;A;Orchestra;;;441.2726066625215;E:maj;0;0;3;360.53333333333336;CC0
Beethoven_Op072-0_OV-Zemlinsky1929;OV;Zemlinsky1929;FidelioOv_Orch;A;Orchestra;;;434.6950067418271;E:maj;0;0;3;390.74666666666667;CC0
Beethoven_Op072-0_SR-R-ReproPno-CloseRev;SR-R;ReproPno-CloseRev;FidelioOv_Orch;A;Piano;;;442.0379367369037;E:maj;0;0;1;368.1340136054422;CC-BY-3.0
Beethoven_Op072-0_SR-ReproPno-CloseDry;SR;ReproPno-CloseDry;FidelioOv_Orch;A;Piano;;;441.5275693441813;E:maj;0;0;1;368.1340136054422;CC-BY-3.0
Beethoven_Op072-0_SR-ReproPno-HandRecDry;SR;ReproPno-HandRecDry;FidelioOv_Orch;A;Piano;;;441.5275693441813;E:maj;0;0;1;368.1340136054422;CC-BY-3.0
Beethoven_Op072-0_SR-ReproPno-RoomRev;SR;ReproPno-RoomRev;FidelioOv_Orch;A;Piano;;;442.0379367369037;E:maj;0;0;1;368.1340136054422;CC-BY-3.0
Beethoven_Op072-0_SY-EWSO;SY;EWSO;FidelioOv_Orch;A;Synthetic;;;440.7631229032662;E:maj;0;0;1;365.0091609977324;CC-BY-3.0
Beethoven_Op072-0_SY-HSO;SY;HSO;FidelioOv_Orch;A;Synthetic;;;441.782679340603;E:maj;0;0;1;375.04761904761904;CC-BY-3.0
Berlioz_H048-04_OV-Argenta1958;OV;Argenta1958;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.94973572444303;G:min;0;0;1;268.8663945578231;CC0
Berlioz_H048-04_OV-Barbirolli1947;OV;Barbirolli1947;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.94973572444303;G:min;0;0;3;388.17455782312925;CC0
Berlioz_H048-04_OV-Baudo1957;OV;Baudo1957;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.94973572444303;G:min;0;0;3;265.14884353741496;CC0
Berlioz_H048-04_OV-Beecham1957;OV;Beecham1957;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.5275693441813;G:min;0;0;2;318.02666666666664;CC0
Berlioz_H048-04_OV-Beinum1959;OV;Beinum1959;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;437.7185496206256;G:min;0;0;2;265.6390022675737;CC0
Berlioz_H048-04_OV-Cluytens1958;OV;Cluytens1958;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.2726066625215;G:min;0;0;2;285.68;CC0
Berlioz_H048-04_OV-Conte1959;OV;Conte1959;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;448.46752658183385;G:min;0;0;2;289.2461678004535;CC0
Berlioz_H048-04_OV-Dennis2016;OV;Dennis2016;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.5275693441813;G:min;0;0;1;272.50938775510207;CC-BY-3.0
Berlioz_H048-04_OV-Dervaux1962;OV;Dervaux1962;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.2726066625215;G:min;0;0;2;289.26036281179137;CC0
Berlioz_H048-04_OV-Dorati1953;OV;Dorati1953;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.017791210556;G:min;0;0;2;266.26907029478457;CC0
Berlioz_H048-04_OV-Fourestier1958;OV;Fourestier1958;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;451.32609343096783;G:min;0;0;3;254.84798185941042;CC0
Berlioz_H048-04_OV-Fremaux1960;OV;Fremaux1960;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.017791210556;G:min;0;0;2;263.4864399092971;CC0
Berlioz_H048-04_OV-Goossens1959;OV;Goossens1959;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.017791210556;G:min;0;0;3;294.37097505668936;CC0
Berlioz_H048-04_OV-Karajan1954;OV;Karajan1954;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.5275693441813;G:min;0;0;1;286.24979591836734;CC0
Berlioz_H048-04_OV-Koussevitzky1943;OV;Koussevitzky1943;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.4325426971205;G:min;0;0;3;277.28961451247164;CC0?
Berlioz_H048-04_OV-Leibowitz1958;OV;Leibowitz1958;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.691064525182;G:min;0;0;2;276.91333333333336;CC0
Berlioz_H048-04_OV-Markevitch1961;OV;Markevitch1961;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.782679340603;G:min;0;0;1;286.1984580498866;CC0
Berlioz_H048-04_OV-Mitropoulos1957;OV;Mitropoulos1957;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;427.4740541075866;G:min;0;0;3;303.53333333333336;CC0
Berlioz_H048-04_OV-Monteux1952;OV;Monteux1952;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;438.9845576718903;G:min;0;0;3;287.09360544217685;CC0
Berlioz_H048-04_OV-Monteux1958;OV;Monteux1958;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.4325426971205;G:min;0;0;2;297.47278911564626;CC0
Berlioz_H048-04_OV-Munch1962;OV;Munch1962;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;443.82887286777554;G:min;0;0;1;265.71755102040817;CC0
Berlioz_H048-04_OV-Ormandy1950;OV;Ormandy1950;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.2726066625215;G:min;0;0;2;270.19278911564624;CC0
Berlioz_H048-04_OV-Otterloo1956;OV;Otterloo1956;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.691064525182;G:min;0;0;2;272.4021768707483;CC0
Berlioz_H048-04_OV-Paray1960;OV;Paray1960;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.2726066625215;G:min;0;0;3;269.2005442176871;CC0
Berlioz_H048-04_OV-R-Markevitch1953;OV-R;Markevitch1953;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;443.82887286777554;G:min;0;0;1;266.14666666666665;CC0
Berlioz_H048-04_OV-Rodzinski1953;OV;Rodzinski1953;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;443.82887286777554;G:min;0;0;2;255.1360544217687;CC0
Berlioz_H048-04_OV-Scherchen1954;OV;Scherchen1954;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.2726066625215;G:min;0;0;3;232.90780045351474;CC0
Berlioz_H048-04_OV-SchubertB2010;OV;SchubertB2010;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.2726066625215;G:min;0;0;2;256.9055782312925;CC-BY-NC-ND-3.0
Berlioz_H048-04_OV-Silvestri1961;OV;Silvestri1961;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;447.1741701540032;G:min;0;0;2;277.77292517006805;CC0
Berlioz_H048-04_OV-Thene1924;OV;Thene1924;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;442.0379367369037;G:min;0;0;1;296.04;CC0
Berlioz_H048-04_OV-Vandernoot1961;OV;Vandernoot1961;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;443.82887286777554;G:min;0;0;3;292.3972789115646;CC0
Berlioz_H048-04_OV-Wallenstein1959;OV;Wallenstein1959;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;435.4489288226911;G:min;0;0;3;283.65496598639453;CC0
Berlioz_H048-04_OV-WalterB2009;OV;WalterB2009;MarcheSupplice_Orch;IA1BA2C;Orchestra;;;441.2726066625215;G:min;0;0;3;254.64163265306124;CC-BY-NC-SA-3.0-US
Berlioz_H048-04_SR-R-ReproPno-CloseRev;SR-R;ReproPno-CloseRev;MarcheSupplice_Orch;IA1BA2C;Piano;;;441.5275693441813;G:min;0;0;1;300.62603174603174;CC-BY-3.0
Berlioz_H048-04_SR-ReproPno-CloseDry;SR;ReproPno-CloseDry;MarcheSupplice_Orch;IA1BA2C;Piano;;;441.5275693441813;G:min;0;0;1;300.62603174603174;CC-BY-3.0
Berlioz_H048-04_SR-ReproPno-HandRecDry;SR;ReproPno-HandRecDry;MarcheSupplice_Orch;IA1BA2C;Piano;;;441.5275693441813;G:min;0;0;1;300.62603174603174;CC-BY-3.0
Berlioz_H048-04_SR-ReproPno-RoomRev;SR;ReproPno-RoomRev;MarcheSupplice_Orch;IA1BA2C;Piano;;;441.5275693441813;G:min;0;0;1;300.62603174603174;CC-BY-3.0
Berlioz_H048-04_SY-EWSO;SY;EWSO;MarcheSupplice_Orch;IA1BA2C;Synthetic;;;440.5086016556824;G:min;0;0;1;297.4578684807256;CC-BY-3.0
Berlioz_H048-04_SY-HSO;SY;HSO;MarcheSupplice_Orch;IA1BA2C;Synthetic;;;441.782679340603;G:min;0;0;1;307.7078911564626;CC-BY-3.0
Boccherini_G275-03_AD-S-Boulanger;AD-S;Boulanger;Minuet_StrQ;A1IA2BBCCA1IA2;Strings;;;445.8845436971296;A:maj;0;0;3;180.84;CC-BY-SA-4.0
Boccherini_G275-03_AD-S-FlorentineQuartet1915;AD-S;FlorentineQuartet1915;Minuet_StrQ;A1IA2IA2BBCCA1IA2;Strings;;;448.9859159603322;A:maj;0;0;3;195.28362811791382;CC0
Boccherini_G275-03_AD-S-Gittelson1916;AD-S;Gittelson1916;Minuet_StrQ;A1A1IAIA2BBCA1IA2;"Violin; Piano";;;447.4325426971205;Ab:maj;-1;0;3;205.8667573696145;CC0
Boccherini_G275-03_AD-S-Stokowski1929;AD-S;Stokowski1929;Minuet_StrQ;A1A1IA2B'CA1IA2;Strings;;;445.3697350956286;A:maj;0;0;3;153.14666666666668;CC0
